aircraft_id,report_date,aircraft_model,operator,flight_phase,cruise_altitude_ft,flight_conditions,weather_conditions,component_name,component_status,anomaly_type,root_cause,maintenance_outcome,base_location,airport_code,crew_experience,contributing_factors,report_summary,health_status,alert_active,flight_hours,report_year,report_month
795532,2008-07-01,Skyhawk 172/Cutlass 172,Personal,Takeoff / Launch,0.0,Vmc,unknown,engine,Malfunctioning,aircraft equipment problem critical,Aircraft,flight crew diverted; general declared emergency,us,zzz.airport,flight crew last 90 days 150; flight crew total 13000; flight crew type 75,aircraft,c172 plt returns to tkof arpt with rough running engine.,Critical,True,13000,2008,7
801406,2008-08-01,B737-400,Air Carrier,Parked,0.0,Unknown,unknown,altimeter,Unknown,aircraft equipment problem critical; deviation / discrepancy - procedural published material / policy; deviation / discrepancy - procedural maintenance; deviation / discrepancy - procedural far,Human Factors,general maintenance action; general none reported / taken,us,zzz.airport,unknown,human factors,after replacing a standby altimeter on a b737-400; a mechanic is informed he did not have an inspector perform the required rii inspection of the altimeter quick disconnect lines.,Critical,True,5830,2008,8
804746,2008-09-01,Sr22,Personal,Cruise,17800.0,Vmc,unknown,unknown,Unknown,aircraft equipment problem critical; deviation - altitude undershoot; deviation / discrepancy - procedural far,Aircraft,flight crew overcame equipment problem; flight crew returned to clearance,unknown,1v5.airport,flight crew last 90 days 75; flight crew total 5000; flight crew type 1200,human factors; aircraft,sr22 plt is 200 ft low in cruise; with his oximeter reading 72% his o2 saturation was very low and subsequently found his o2 hose disconnected.,Critical,True,5000,2008,9
981988,2011-11-01,A319,Air Carrier,Parked,0.0,Unknown,unknown,other documentation,Improperly Operated,deviation / discrepancy - procedural published material / policy,Company Policy,general none reported / taken,unknown,unknown,flight crew last 90 days 220; flight crew total 14000; flight crew type 9000,procedure; human factors; aircraft; company policy,an a319 flight crew became aware of a change in the manner in which their autoland status was to be confirmed only as a result of an e-mail message from their union to their smart phones. the change had been implemented by the company prior to programming of the company's maintenance computers to comply with the requirement.,Normal,False,14000,2011,11
754856,2007-09-01,Pa-46 Malibu/Malibu Mirage/Malibu Matrix,Personal,Initial Climb,5000.0,Vmc,unknown,unknown,Unknown,deviation - track / heading all types; deviation / discrepancy - procedural clearance,Ambiguous,air traffic control issued new clearance; flight crew returned to clearance,nv,hnd.airport,flight crew last 90 days 26; flight crew total 2340; flight crew type 800,human factors,pa46 pilot reports confusing vectors after departing hnd then direct to a point not on route or direction of flight. atc questions turn in wrong direction and learns of confusion with another acft.,Normal,False,2340,2007,9
816089,2008-12-01,B737-800,Air Carrier,Cruise,41000.0,Imc,unknown,hydraulic system,Malfunctioning,aircraft equipment problem critical,Aircraft,flight crew diverted; general declared emergency; general maintenance action,us,zzz.airport,flight crew last 90 days 120; flight crew total 14000; flight crew type 4000,aircraft,a b737-800 crew diverts to a nearby airport when both engine drive hydraulic pumps indicate low pressure.,Critical,True,14000,2008,12
811692,2008-11-01,B737-400,Air Carrier,Initial Approach,0.0,Vmc,unknown,indicating and warning - landing gear,Malfunctioning,aircraft equipment problem less severe,Aircraft,flight crew overcame equipment problem; general maintenance action,ca,zzz.airport,flight crew last 90 days 220; flight crew type 1300,human factors; aircraft,failure to obtain green gear safe lights traced to open air/ground relay circuit breaker by b737-400 flight crew.,Warning,True,14186,2008,11
1217879,2014-11-01,A320,Air Carrier,Parked,0.0,Vmc,unknown,spoiler system,Malfunctioning,aircraft equipment problem less severe; deviation / discrepancy - procedural mel / cdl; deviation / discrepancy - procedural maintenance; deviation / discrepancy - procedural published material / policy,Human Factors,flight crew overcame equipment problem; general maintenance action,us,zzz.airport,flight crew last 90 days 211; flight crew total 14300; flight crew type 6500,manuals; human factors,a320 flight crew reports being dispatched with the number four spoiler set deactivated by maintenance to comply with an mel procedure. with two symmetrical x's appearing over two spoilers on the flight control page the crew assumes the procedure has been done correctly. in cruise another ecam spoiler fault is annunciated and two additional x's are noted on the flight control page. it is determined that maintenance deactivated the wrong spoiler pair. spoilers are not numbered on the flight control page.,Warning,True,14300,2014,11
665608,2005-07-01,Gulfstream Iv / G350 / G450,Personal,Climb,10000.0,Vmc,10,unknown,Unknown,atc issue all types; conflict airborne conflict,Human Factors,air traffic control issued new clearance; flight crew took evasive action,ct,hfd.vor,unknown,human factors,y90 ctlr experienced operror when issuing wrong freq to conflicting acft; hindering any possible corrective action.,Normal,False,1291,2005,7
742072,2007-06-01,Airbus Industrie Undifferentiated Or Other Model,Air Carrier,Takeoff / Launch,0.0,Unknown,fog,unknown,Unknown,flight deck / cabin / aircraft event smoke / fire / fumes / odor,Aircraft,flight crew landed in emergency condition; general declared emergency,us,zzz.artcc,unknown,aircraft,an a300 pilot reports smoke in the cabin immediately after tkof requiring an immediately return to land. cause not determined.,Critical,True,13991,2007,6
